epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.971,2.00909,3.27361,2.5235,0.00188,0.56468,0.00638,0.00099,3.55357,5.03226,3.6616,0.040046,1.99479e-05,1.99479e-05
1,159.281,2.00909,3.27361,2.5235,0.00188,0.56468,0.00638,0.00099,3.55357,5.03226,3.6616,0.040046,1.99479e-05,1.99479e-05
1,200.494,2.00909,3.27361,2.5235,0.00188,0.56468,0.00638,0.00099,3.55357,5.03226,3.6616,0.040046,1.99479e-05,1.99479e-05
2,369.687,1.60923,2.7396,2.24222,0.17164,0.05344,0.07568,0.01429,2.96491,4.1417,3.16064,0.0300656,3.95524e-05,3.95524e-05
3,522.047,1.41697,2.45051,2.08436,0.39668,0.40941,0.34704,0.08054,2.57476,3.61339,2.84029,0.0200848,5.87609e-05,5.87609e-05
4,684.917,1.33573,2.1307,2.00513,0.53511,0.67472,0.6203,0.1704,2.38601,3.27663,2.5133,0.0101036,7.75735e-05,7.75735e-05
5,849.426,1.16474,1.7422,1.84279,0.62225,0.82281,0.72695,0.27751,2.06499,2.6902,2.10473,0.000122032,9.599e-05,9.599e-05
6,1002.85,1.02168,1.43901,1.72678,0.78429,0.90257,0.87149,0.38095,1.79819,2.23392,1.89064,9.505e-05,9.505e-05,9.505e-05
7,1173.26,0.92479,1.2952,1.6343,0.76635,0.93776,0.90016,0.42774,1.68537,2.07781,1.81147,9.406e-05,9.406e-05,9.406e-05
8,1369.84,0.84979,1.19671,1.55175,0.85784,0.94819,0.96075,0.45992,1.66078,1.95044,1.69838,9.307e-05,9.307e-05,9.307e-05
9,1560.05,0.81553,1.13774,1.5293,0.83992,0.95227,0.94867,0.47606,1.59545,1.88549,1.73342,9.208e-05,9.208e-05,9.208e-05
10,1757.06,0.79221,1.09262,1.5019,0.86774,0.94396,0.96311,0.49605,1.54025,1.8457,1.7089,9.109e-05,9.109e-05,9.109e-05
11,1952,0.782,1.07139,1.49021,0.83543,0.95939,0.9534,0.51167,1.50696,1.78492,1.68152,9.01e-05,9.01e-05,9.01e-05
12,2145.75,0.73614,1.01032,1.4601,0.87663,0.97478,0.96566,0.5338,1.47839,1.72332,1.68128,8.911e-05,8.911e-05,8.911e-05
13,2340.23,0.72548,0.9883,1.44426,0.91211,0.96369,0.97997,0.54391,1.47488,1.67623,1.67954,8.812e-05,8.812e-05,8.812e-05
14,2535.35,0.70589,0.95592,1.42406,0.93194,0.96822,0.98621,0.5595,1.45952,1.66329,1.65526,8.713e-05,8.713e-05,8.713e-05
